"Duration__in_seconds_","ResponseId","interviewer_id","study_area_sa","test_survey","surv_taker","quota_age_","quota_gender","quota_age_SNIS","quota_educ_ZA","quota_edu_GH","quota_edu_IN","quota_edu_ID","informed_perception","perception_current","perception_past","perception_spatial","concern_gen","concern_second_perso","concern_second_gov","quota_gender.0","quota_education","hh_inc_ZA","hh_inc_Jak","hh_inc_Acc","hh_inc_Del","attn_check_pt","trust_loc_gov","trust_nat_gov","trust_bus_ind","trust_citizens","trust_experts","trust_ios","trust_ranking","trust_ranking_slider","trust_city_cap","trust_city_commit","trust_city_citizen","gen_social_trust","attn_check_other","envir_tradeoff","pre_treat_trust","trust_support_base","lgov_support","lgov_implementation","lgov_fairness","lgov_coordination","lgov_accountability","bigco_support","bigco_implementation","bigco_fairness","bigco_coordination","bigco_accountability","smallco_support","smallco_implement","smallco_fairness","smallco_coordination","smallco_accountab","manipul_check_trust","follow_up_probe_break_promises","follow_up_probe_capacity","follow_up_probe_not_willing","follow_up_probe_compliance","trust_traitor","trust_bad_compromise","trust_actor_reward_loc_gov","trust_actor_reward_experts","trust_actor_reward_ios","trust_actor_reward_citizens","trust_actor_reward_business","trust_actor_reward_none","trust_actor_punish_loc_gov","trust_actor_punish_experts","trust_actor_punish_ios","trust_actor_punish_citizens","trust_actor_punish_business","trust_actor_punish_none","difficulty_1","comments","date_survey","surv_city","display","RespID","trust_actors_treat_assign","del_split","jak_split","end_flag","quota_female_male","attn_fail_other","attn_fail_pt","attn_fail_time","attn_drop","attn_drop_reason","date","video_understand","potential_drop","age","gender","income","edu"
1744,"R_4fenibb7vatrVig",NA,NA,NA,NA,NA,1,2,NA,NA,6,NA,2,2,2,2,3,3,3,NA,NA,NA,NA,NA,10,2,4,5,4,5,5,5,NA,1,4,4,5,5,1,1,1,5,5,5,5,5,5,5,5,5,5,5,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,"No thank the BJP govt is very good","21/02/2025","del_online","open_ended","","local_gov_big_coalition","fairness_trust","","complete","male","","","",NA,NA,"2025-02-21",5,0,2,1,10,6
2121,"R_4V8AbGkkxWadgcN",NA,NA,NA,NA,NA,1,3,NA,NA,NA,6,4,3,2,3,2,3,2,NA,NA,NA,10,NA,NA,1,3,4,1,2,3,4,NA,4,5,3,3,2,1,1,1,4,5,3,3,4,3,5,5,5,4,4,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,"","21/02/2025","jak_online","open_ended","","local_gov_big_coalition","","fairness_trust","complete","male","","","",NA,NA,"2025-02-21",5,0,3,1,10,6
2470,"R_462N1g8NDrODKQw",NA,NA,NA,NA,NA,1,2,NA,NA,7,NA,4,5,5,4,3,3,3,NA,NA,NA,NA,NA,10,1,3,2,2,2,4,2,NA,4,4,3,3,4,1,1,2,4,NA,NA,NA,NA,NA,4,5,4,5,4,4,5,4,4,4,2,NA,NA,NA,NA,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,"It was interesting survey but little bit it was lengthy but overall it was helpful.","21/02/2025","del_online","open_ended","","small_coalition_big_coalition","fairness_trust","","complete","male","","","",NA,NA,"2025-02-21",5,0,2,1,10,7
1013,"R_9eanLup9bIAPCw4",NA,NA,NA,NA,NA,1,3,NA,NA,7,NA,3,3,2,2,3,2,2,NA,NA,NA,NA,NA,10,1,2,3,2,3,3,4,NA,4,4,5,2,3,1,1,2,4,3,4,4,5,4,4,5,4,4,4,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,4,3,1,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,5,"Nice survey.","21/02/2025","del_online","reward_punish","","local_gov_big_coalition","fairness_trust","","complete","male","","","",NA,NA,"2025-02-21",5,0,3,1,10,7
1737,"R_9VroCvMtWH78d6p",NA,NA,NA,NA,NA,1,3,NA,NA,7,NA,5,4,4,5,3,2,2,NA,NA,NA,NA,NA,10,1,3,4,4,4,2,4,NA,4,5,4,2,4,1,1,2,5,NA,NA,NA,NA,NA,5,5,5,4,4,5,5,3,4,4,1,NA,NA,NA,NA,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,"Too lengthy","21/02/2025","del_online","open_ended","","small_coalition_big_coalition","fairness_trust","","complete","male","","","",NA,NA,"2025-02-21",5,0,3,1,10,7
1038,"R_9lt3CS5iGbFyiQi",NA,NA,NA,NA,NA,2,1,NA,NA,7,NA,4,3,2,3,4,3,4,NA,NA,NA,NA,NA,2,1,5,5,2,4,5,5,NA,3,4,2,4,2,1,1,1,4,5,5,5,4,5,NA,NA,NA,NA,NA,5,5,5,5,3,3,NA,NA,NA,NA,4,5,1,1,NA,1,NA,NA,NA,NA,NA,NA,1,NA,5,"Nice topic","21/02/2025","del_online","reward_punish","","local_gov_small_coalition","fairness_trust","","complete","female","","","",NA,NA,"2025-02-21",5,0,1,2,2,7
3819,"R_98YvutyqHNDkIev",NA,NA,NA,NA,NA,2,1,NA,NA,NA,6,4,2,2,3,3,3,1,NA,NA,NA,1,NA,NA,1,2,2,2,4,4,4,NA,4,4,2,2,3,1,2,1,4,NA,NA,NA,NA,NA,3,4,4,4,3,4,4,4,4,2,2,NA,NA,NA,NA,4,4,1,NA,1,NA,NA,NA,1,NA,NA,NA,1,NA,4,"Semoga lebih sering mengadakan survei seperti ini","21/02/2025","jak_online","reward_punish","","small_coalition_big_coalition","","fairness_trust","complete","female","","","",NA,NA,"2025-02-21",5,0,1,2,1,6
2014,"R_4oKcq0rTD4VLl9T",NA,NA,NA,NA,NA,2,4,NA,NA,NA,6,4,3,2,3,3,3,3,NA,NA,NA,10,NA,NA,1,4,3,3,4,4,2,NA,2,5,3,3,3,1,1,2,4,NA,NA,NA,NA,NA,5,5,4,4,4,5,5,5,4,4,1,NA,NA,NA,NA,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,"Survei cukup bagus dan mudah","21/02/2025","jak_online","open_ended","","small_coalition_big_coalition","","fairness_trust","complete","female","","","",NA,NA,"2025-02-21",5,0,4,2,10,6
2006,"R_4P96M2rWkGLOjtv",NA,NA,NA,NA,NA,2,4,NA,NA,NA,3,4,2,1,2,3,3,3,NA,NA,NA,7,NA,NA,1,5,5,1,2,4,5,NA,2,5,5,5,1,1,1,1,5,5,5,5,5,4,NA,NA,NA,NA,NA,5,5,5,5,4,2,NA,NA,NA,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,"ada satu pertanyaan yang terjemahannya agak sedikit salah","21/02/2025","jak_online","open_ended","","local_gov_small_coalition","","fairness_trust","complete","female","","","",NA,NA,"2025-02-21",4,0,4,2,7,3
835,"R_4EnIkekMVmm4Nb1",NA,NA,NA,NA,NA,2,2,NA,NA,NA,6,4,2,2,3,3,4,3,NA,NA,NA,2,NA,NA,1,3,4,2,4,4,4,NA,2,4,4,3,4,1,1,1,5,5,5,4,5,4,NA,NA,NA,NA,NA,5,5,5,4,4,1,NA,NA,NA,NA,5,5,1,NA,NA,1,1,NA,NA,1,NA,1,NA,NA,5,"Sangat relevan tentang polusi udara di jakarta","21/02/2025","jak_online","reward_punish","","local_gov_small_coalition","","fairness_trust","complete","female","","","",NA,NA,"2025-02-21",4,0,2,2,2,6
