"Duration__in_seconds_","ResponseId","interviewer_id","study_area_sa","test_survey","surv_taker","quota_age_","quota_gender","quota_age_SNIS","quota_educ_ZA","quota_edu_GH","quota_edu_IN","quota_edu_ID","informed_perception","perception_current","perception_past","perception_spatial","concern_gen","concern_second_perso","concern_second_gov","quota_gender.0","quota_education","hh_inc_ZA","hh_inc_Jak","hh_inc_Acc","hh_inc_Del","attn_check_pt","trust_loc_gov","trust_nat_gov","trust_bus_ind","trust_citizens","trust_experts","trust_ios","trust_ranking","trust_ranking_slider","trust_city_cap","trust_city_commit","trust_city_citizen","gen_social_trust","attn_check_other","envir_tradeoff","pre_treat_trust","trust_support_base","lgov_support","lgov_implementation","lgov_fairness","lgov_coordination","lgov_accountability","bigco_support","bigco_implementation","bigco_fairness","bigco_coordination","bigco_accountability","smallco_support","smallco_implement","smallco_fairness","smallco_coordination","smallco_accountab","manipul_check_trust","follow_up_probe_break_promises","follow_up_probe_capacity","follow_up_probe_not_willing","follow_up_probe_compliance","trust_traitor","trust_bad_compromise","trust_actor_reward_loc_gov","trust_actor_reward_experts","trust_actor_reward_ios","trust_actor_reward_citizens","trust_actor_reward_business","trust_actor_reward_none","trust_actor_punish_loc_gov","trust_actor_punish_experts","trust_actor_punish_ios","trust_actor_punish_citizens","trust_actor_punish_business","trust_actor_punish_none","difficulty_1","comments","date_survey","surv_city","display","RespID","trust_actors_treat_assign","del_split","jak_split","end_flag","quota_female_male","attn_fail_other","attn_fail_pt","attn_fail_time","attn_drop","attn_drop_reason","date","video_understand","potential_drop","age","gender","income","edu"
954,"R_4o7HfqWAt8n65dq",NA,NA,NA,NA,NA,1,2,NA,NA,NA,6,4,2,3,2,4,4,4,NA,NA,NA,10,NA,NA,1,3,4,4,4,4,3,NA,2,4,4,3,4,1,2,1,4,NA,NA,NA,NA,NA,5,4,3,3,4,5,5,4,4,4,2,NA,NA,NA,NA,4,4,1,NA,NA,1,1,NA,1,NA,NA,1,1,NA,4,"Harus diwujudkan untuk meningkatan polusi udara Jakarta karena saya yang warga jakarta merasa sudah cukup buruk polusi udara di jakarta","21/02/2025","jak_online","reward_punish","","small_coalition_big_coalition","","fairness_trust","complete","male","","","",NA,NA,"2025-02-21",5,0,2,1,10,6
948,"R_4tg7FGNUvgJwyUR",NA,NA,NA,NA,NA,1,1,NA,NA,NA,6,5,4,4,3,4,4,4,NA,NA,NA,1,NA,NA,1,5,5,5,5,5,5,NA,2,5,5,5,5,1,2,1,5,5,5,5,5,5,5,5,5,5,5,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,"Saya ingin diundang survey lebih sering.","21/02/2025","jak_online","open_ended","","local_gov_big_coalition","","fairness_trust","complete","male","","","",NA,NA,"2025-02-21",5,0,1,1,1,6
811,"R_45LqVzGPOfARsPf",NA,NA,NA,NA,NA,2,1,NA,NA,NA,6,4,2,2,2,4,4,4,NA,NA,NA,10,NA,NA,1,4,4,5,4,5,4,NA,2,4,4,5,4,1,1,1,4,4,4,4,4,5,4,4,4,4,4,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,"Bagusss saya sukaaaa","21/02/2025","jak_online","open_ended","","local_gov_big_coalition","","fairness_trust","complete","female","","","",NA,NA,"2025-02-21",4,0,1,2,10,6
712,"R_4XT6fHd1X4fo0j7",NA,NA,NA,NA,NA,2,2,NA,NA,NA,6,5,2,2,2,4,3,2,NA,NA,NA,8,NA,NA,1,4,4,4,3,4,3,NA,2,4,4,5,3,1,1,1,5,4,4,4,4,5,5,5,4,5,4,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,"","21/02/2025","jak_online","open_ended","","local_gov_big_coalition","","fairness_trust","complete","female","","","",NA,NA,"2025-02-21",5,0,2,2,8,6
776,"R_4eODWpaGyB1hVy9",NA,NA,NA,NA,NA,2,1,NA,NA,7,NA,4,4,4,3,3,2,1,NA,NA,NA,NA,NA,8,1,4,2,3,3,3,2,NA,2,4,4,4,4,1,2,1,5,NA,NA,NA,NA,NA,5,5,5,5,5,5,4,5,4,5,1,NA,NA,NA,NA,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,"","21/02/2025","del_online","open_ended","","small_coalition_big_coalition","fairness_trust","","complete","female","","","",NA,NA,"2025-02-21",4,0,1,2,8,7
986,"R_9esI0iLDggWWDYL",NA,NA,NA,NA,NA,1,2,NA,NA,8,NA,5,3,1,2,3,4,2,NA,NA,NA,NA,NA,1,1,2,4,1,4,5,4,NA,3,5,5,2,4,1,2,1,5,5,5,5,5,5,4,4,4,4,4,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,4,4,NA,1,1,1,NA,NA,1,NA,1,NA,1,NA,5,"Good survey","21/02/2025","del_online","reward_punish","","local_gov_big_coalition","fairness_trust","","complete","male","","","",NA,NA,"2025-02-21",5,0,2,1,1,8
1467,"R_4iKoBEoHNiVDIl5",NA,NA,NA,NA,NA,2,1,NA,NA,6,NA,3,2,3,2,2,3,2,NA,NA,NA,NA,NA,10,1,2,4,2,2,3,4,NA,3,4,4,3,4,1,1,1,4,4,4,3,2,3,4,3,4,3,2,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,3,4,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,4,"According to me these survey is easy but timing is not good","21/02/2025","del_online","reward_punish","","local_gov_big_coalition","fairness_trust","","complete","female","","","",NA,NA,"2025-02-21",4,0,1,2,10,6
1241,"R_4DwCVcXmfEysTMl",NA,NA,NA,NA,NA,1,1,NA,NA,NA,6,5,2,3,3,4,4,2,NA,NA,NA,8,NA,NA,1,2,2,3,3,2,4,NA,4,3,5,4,2,1,1,2,5,5,4,3,4,4,5,4,4,4,4,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,4,3,1,1,1,1,1,NA,1,1,1,1,1,NA,5,"Lebih baik untuk kedepannya","21/02/2025","jak_online","reward_punish","","local_gov_big_coalition","","fairness_trust","complete","male","","","",NA,NA,"2025-02-21",5,0,1,1,8,6
830,"R_9ilLWJLxaCMcOop",NA,NA,NA,NA,NA,2,2,NA,NA,NA,3,4,3,4,4,3,3,4,NA,NA,NA,1,NA,NA,1,5,5,5,5,5,4,NA,2,5,5,5,5,1,2,1,5,5,5,4,5,5,NA,NA,NA,NA,NA,5,5,5,5,5,1,NA,NA,NA,NA,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,"Survey menarik","21/02/2025","jak_online","open_ended","","local_gov_small_coalition","","fairness_trust","complete","female","","","",NA,NA,"2025-02-21",5,0,2,2,1,3
1260,"R_4XVHd15sTWs9PMJ",NA,NA,NA,NA,NA,1,2,NA,NA,NA,3,3,2,3,3,4,3,3,NA,NA,NA,2,NA,NA,1,4,4,3,3,3,3,NA,2,3,4,4,2,1,2,1,4,4,3,3,3,3,NA,NA,NA,NA,NA,4,3,3,3,3,1,NA,NA,NA,NA,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,"Survei yg bagus","21/02/2025","jak_online","open_ended","","local_gov_small_coalition","","fairness_trust","complete","male","","","",NA,NA,"2025-02-21",5,0,2,1,2,3
1280,"R_4h5qRb0CRDDzQ6q",NA,NA,NA,NA,NA,2,1,NA,NA,NA,6,3,3,1,2,4,4,4,NA,NA,NA,8,NA,NA,1,2,1,3,2,3,2,NA,4,2,3,2,2,1,2,2,4,3,2,2,2,5,4,2,2,2,3,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,"","21/02/2025","jak_online","open_ended","","local_gov_big_coalition","","fairness_trust","complete","female","","","",NA,NA,"2025-02-21",3,0,1,2,8,6
1227,"R_9FbPKZotnusnZfO",NA,NA,NA,NA,NA,2,2,NA,NA,NA,6,4,3,2,4,2,2,2,NA,NA,NA,7,NA,NA,1,4,4,4,4,4,4,NA,2,4,4,4,4,1,1,2,4,4,4,4,4,4,NA,NA,NA,NA,NA,4,4,4,4,4,3,NA,NA,NA,NA,4,4,NA,NA,NA,1,NA,NA,1,1,NA,NA,NA,NA,4,"","21/02/2025","jak_online","reward_punish","","local_gov_small_coalition","","fairness_trust","complete","female","","","",NA,NA,"2025-02-21",4,0,2,2,7,6
677,"R_9XfHxC7ESAjwKYx",NA,NA,NA,NA,NA,1,3,NA,NA,NA,6,4,2,3,3,3,3,3,NA,NA,NA,8,NA,NA,1,4,4,4,4,4,4,NA,2,4,4,4,5,1,1,1,5,4,5,5,5,5,NA,NA,NA,NA,NA,5,5,5,5,5,1,NA,NA,NA,NA,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,"Menarik","21/02/2025","jak_online","open_ended","","local_gov_small_coalition","","fairness_trust","complete","male","","","",NA,NA,"2025-02-21",5,0,3,1,8,6
1512,"R_4gbtGDpStYzmLll",NA,NA,NA,NA,NA,1,1,NA,NA,NA,7,5,2,4,3,2,1,1,NA,NA,NA,10,NA,NA,1,3,3,3,2,2,5,NA,4,4,3,4,2,1,2,2,5,5,4,3,3,4,NA,NA,NA,NA,NA,5,5,5,4,4,1,NA,NA,NA,NA,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,"Warna UI/layoutnya diubah. Karena tidak semua orang menggunakan tema putih.","21/02/2025","jak_online","open_ended","","local_gov_small_coalition","","fairness_trust","complete","male","","","",NA,NA,"2025-02-21",5,0,1,1,10,7
1030,"R_9Je0YFJeZSQ8jyU",NA,NA,NA,NA,NA,2,3,NA,NA,7,NA,1,1,2,1,4,4,1,NA,NA,NA,NA,NA,10,1,3,3,3,5,4,4,NA,3,4,3,2,3,1,1,1,2,2,1,3,3,1,5,3,4,4,3,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,4,3,NA,1,NA,1,NA,NA,1,NA,1,NA,NA,NA,5,"","21/02/2025","del_online","reward_punish","","local_gov_big_coalition","fairness_trust","","complete","female","","","",NA,NA,"2025-02-21",5,0,3,2,10,7
1112,"R_9v7Fo07SBBcu6pS",NA,NA,NA,NA,NA,1,1,NA,NA,7,NA,4,1,2,4,4,3,2,NA,NA,NA,NA,NA,10,1,4,2,1,4,4,2,NA,2,5,4,4,2,1,1,2,5,2,3,2,2,4,5,4,3,3,2,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,"","21/02/2025","del_online","open_ended","","local_gov_big_coalition","fairness_trust","","complete","male","","","",NA,NA,"2025-02-21",4,0,1,1,10,7
1192,"R_4YQ2JQvq5LxK8mt",NA,NA,NA,NA,NA,2,2,NA,NA,NA,6,4,2,2,3,2,2,2,NA,NA,NA,7,NA,NA,1,4,3,4,4,3,3,NA,2,3,4,4,4,1,2,1,4,4,4,4,4,3,NA,NA,NA,NA,NA,4,4,4,4,3,3,NA,NA,NA,NA,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,"","21/02/2025","jak_online","open_ended","","local_gov_small_coalition","","fairness_trust","complete","female","","","",NA,NA,"2025-02-21",4,0,2,2,7,6
1648,"R_4nJnKrz2elAlURy",NA,NA,NA,NA,NA,1,2,NA,NA,NA,3,5,2,2,3,4,4,4,NA,NA,NA,7,NA,NA,1,4,5,2,2,4,5,NA,1,5,5,5,4,1,1,2,5,5,5,5,4,4,5,4,5,4,5,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,5,5,1,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,5,"","21/02/2025","jak_online","reward_punish","","local_gov_big_coalition","","fairness_trust","complete","male","","","",NA,NA,"2025-02-21",5,0,2,1,7,3
